technology_id,series_id,time,value
673,63,2017,2433.3
673,63,2018,2433.3
673,63,2019,2433.3
673,63,2020,2433.3
673,63,2021,2433.3
673,63,2022,2433.3
673,63,2023,2433.3
673,63,2024,2433.3
673,63,2025,2433.3
673,63,2026,2433.3
673,63,2027,2433.3
673,63,2028,2433.3
673,63,2029,2433.3
673,63,2030,2433.3
673,63,2031,2433.3
673,63,2040,2433.3
673,63,2050,2433.3
673,63,2060,2433.3
673,62,1950,14.5
673,62,1951,14.5
673,62,1952,14.5
673,62,1953,14.5
673,62,1954,14.5
673,62,1955,14.5
673,62,1956,14.5
673,62,1957,14.5
673,62,1958,14.5
673,62,1959,14.5
673,62,1960,14.5
673,62,1961,14.5
673,62,1962,14.5
673,62,1963,14.5
673,62,1964,14.5
673,62,1965,14.5
673,62,1966,14.5
673,62,1967,14.5
673,62,1968,14.5
673,62,1969,14.5
673,62,1970,14.5
673,62,1971,14.5
673,62,1972,14.5
673,62,1973,14.5
673,62,1974,14.5
673,62,1975,14.5
673,62,1976,14.5
673,62,1977,14.5
673,62,1978,14.5
673,62,1979,14.5
673,62,1980,14.5
673,62,1981,14.5
673,62,1982,14.5
673,62,1983,14.5
673,62,1984,14.5
673,62,1985,14.5
673,62,1986,14.5
673,62,1987,14.5
673,62,1988,14.5
673,62,1989,14.5
673,62,1990,14.5
673,62,1991,14.5
673,62,1992,14.5
673,62,1993,14.5
673,62,1994,14.5
673,62,1995,14.5
673,62,1996,14.5
673,62,1997,14.5
673,62,1998,14.5
673,62,1999,14.5
673,62,2000,14.5
673,62,2001,14.5
673,62,2002,14.5
673,62,2003,14.5
673,62,2004,14.5
673,62,2005,14.5
673,62,2006,14.5
673,62,2007,14.5
673,62,2008,14.5
673,62,2009,14.5
672,66,2009,1
672,66,2010,1
672,66,2011,1
672,66,2012,1
672,66,2013,1
672,66,2014,1
672,66,2015,1
672,66,2016,1
672,66,2017,1
672,66,2018,1
672,66,2019,1
672,66,2020,1
672,66,2021,1
672,66,2022,1
672,66,2023,1
672,66,2024,1
672,66,2025,1
672,66,2026,1
672,66,2027,1
672,66,2028,1
672,66,2029,1
672,66,2030,1
672,66,2031,1
672,66,2040,1
672,66,2050,1
672,66,2060,1
672,134,2009,0.8
672,134,2010,0.8
672,134,2011,0.8
672,134,2012,0.8
672,134,2013,0.8
672,134,2014,0.8
672,134,2015,0.8
672,134,2016,0.8
672,134,2017,0.8
672,134,2018,0.8
672,134,2019,0.8
672,134,2020,0.8
672,134,2021,0.8
672,134,2022,0.8
672,134,2023,0.8
672,134,2024,0.8
672,134,2025,0.8
672,134,2026,0.8
672,134,2027,0.8
672,134,2028,0.8
672,134,2029,0.8
672,134,2030,0.8
672,134,2031,0.8
672,134,2040,0.8
672,134,2050,0.8
672,134,2060,0.8
672,140,2009,60
672,140,2010,60
672,140,2011,60
672,140,2012,60
672,140,2013,60
672,140,2014,60
672,140,2015,60
672,140,2016,60
672,140,2017,60
672,140,2018,60
672,140,2019,60
672,140,2020,60
672,140,2021,60
672,140,2022,60
672,140,2023,60
672,140,2024,60
672,140,2025,60
672,140,2026,60
672,140,2027,60
672,140,2028,60
672,140,2029,60
672,140,2030,60
672,140,2031,60
672,140,2040,60
672,140,2050,60
672,140,2060,60
672,63,2009,4233.6
672,63,2010,4233.6
672,63,2011,4233.6
672,63,2012,4233.6
672,63,2013,4233.6
672,63,2014,4233.6
672,63,2015,4233.6
672,63,2016,4233.6
672,63,2017,4233.6
672,63,2018,4233.6
672,63,2019,4233.6
672,63,2020,4233.6
672,63,2021,4233.6
672,63,2022,4233.6
672,63,2023,4233.6
672,63,2024,4233.6
672,63,2025,4233.6
672,63,2026,4233.6
672,63,2027,4233.6
672,63,2028,4233.6
672,63,2029,4233.6
672,63,2030,4233.6
672,63,2031,4233.6
672,63,2040,4233.6
672,63,2050,4233.6
672,63,2060,4233.6
672,62,1950,0.6
672,62,1951,0.6
672,62,1952,0.6
672,62,1953,0.6
672,62,1954,0.6
672,62,1955,0.6
672,62,1956,0.6
672,62,1957,0.6
672,62,1958,0.6
672,62,1959,0.6
672,62,1960,0.6
672,62,1961,0.6
672,62,1962,0.6
672,62,1963,0.6
672,62,1964,0.6
672,62,1965,0.6
672,62,1966,0.6
672,62,1967,0.6
672,62,1968,0.6
672,62,1969,0.6
672,62,1970,0.6
672,62,1971,0.6
672,62,1972,0.6
672,62,1973,0.6
672,62,1974,0.6
672,62,1975,0.6
672,62,1976,0.6
672,62,1977,0.6
672,62,1978,0.6
672,62,1979,0.6
672,62,1980,0.6
672,62,1981,0.6
672,62,1982,0.6
672,62,1983,0.6
672,62,1984,0.6
672,62,1985,0.6
672,62,1986,0.6
672,62,1987,0.6
672,62,1988,0.6
672,62,1989,0.6
672,62,1990,0.6
672,62,1991,0.6
672,62,1992,0.6
672,62,1993,0.6
672,62,1994,0.6
672,62,1995,0.6
672,62,1996,0.6
672,62,1997,0.6
672,62,1998,0.6
672,62,1999,0.6
672,62,2000,0.6
672,62,2001,0.6
672,62,2002,0.6
672,62,2003,0.6
672,62,2004,0.6
672,62,2005,0.6
672,62,2006,0.6
672,62,2007,0.6
672,62,2008,0.6
672,62,2009,0.6
709,66,2009,1
709,66,2010,1
709,66,2011,1
709,66,2012,1
709,66,2013,1
709,66,2014,1
709,66,2015,1
709,66,2016,1
709,66,2017,1
709,66,2018,1
709,66,2019,1
709,66,2020,1
709,66,2021,1
709,66,2022,1
709,66,2023,1
709,66,2024,1
709,66,2025,1
709,66,2026,1
709,66,2027,1
709,66,2028,1
709,66,2029,1
709,66,2030,1
709,66,2031,1
709,66,2040,1
709,66,2050,1
709,66,2060,1
709,103,2009,0.95
709,103,2010,0.95
709,103,2011,0.95
709,103,2012,0.95
709,103,2013,0.95
709,103,2014,0.95
709,103,2015,0.95
709,103,2016,0.95
709,103,2017,0.95
709,103,2018,0.95
709,103,2019,0.95
709,103,2020,0.95
709,103,2021,0.95
709,103,2022,0.95
709,103,2023,0.95
709,103,2024,0.95
709,103,2025,0.95
709,103,2026,0.95
709,103,2027,0.95
709,103,2028,0.95
709,103,2029,0.95
709,103,2030,0.95
709,103,2031,0.95
709,103,2040,0.95
709,103,2050,0.95
709,103,2060,0.95
709,140,2009,60
709,140,2010,60
709,140,2011,60
709,140,2012,60
709,140,2013,60
709,140,2014,60
709,140,2015,60
709,140,2016,60
709,140,2017,60
709,140,2018,60
709,140,2019,60
709,140,2020,60
709,140,2021,60
709,140,2022,60
709,140,2023,60
709,140,2024,60
709,140,2025,60
709,140,2026,60
709,140,2027,60
709,140,2028,60
709,140,2029,60
709,140,2030,60
709,140,2031,60
709,140,2040,60
709,140,2050,60
709,140,2060,60
709,63,2009,365
709,63,2010,365
709,63,2011,365
709,63,2012,365
709,63,2013,365
709,63,2014,365
709,63,2015,365
709,63,2016,365
709,63,2017,365
709,63,2018,365
709,63,2019,365
709,63,2020,365
709,63,2021,365
709,63,2022,365
709,63,2023,365
709,63,2024,365
709,63,2025,365
709,63,2026,365
709,63,2027,365
709,63,2028,365
709,63,2029,365
709,63,2030,365
709,63,2031,365
709,63,2040,365
709,63,2050,365
709,63,2060,365
709,141,2009,0
709,141,2010,0
709,141,2011,0
709,141,2012,0
709,141,2013,0
709,141,2014,0
709,141,2015,0
709,141,2016,0
709,141,2017,0
709,141,2018,0
709,141,2019,0
709,141,2020,0
709,141,2021,0
709,141,2022,0
709,141,2023,0
709,141,2024,0
709,141,2025,0
709,141,2026,0
709,141,2027,0
709,141,2028,0
709,141,2029,0
709,141,2030,0
709,141,2031,0
709,141,2040,0
709,141,2050,0
709,141,2060,0
709,62,2000,1467
709,34,2009,-1.158
709,34,2010,-1.158
709,34,2011,-1.158
709,34,2012,-1.158
709,34,2013,-1.158
709,34,2014,-1.158
709,34,2015,-1.158
709,34,2016,-1.158
709,34,2017,-1.158
709,34,2018,-1.158
709,34,2019,-1.158
709,34,2020,-1.158
709,34,2021,-1.158
709,34,2022,-1.158
709,34,2023,-1.158
709,34,2024,-1.158
709,34,2025,-1.158
709,34,2026,-1.158
709,34,2027,-1.158
709,34,2028,-1.158
709,34,2029,-1.158
709,34,2030,-1.158
709,34,2031,-1.158
709,34,2040,-1.158
709,34,2050,-1.158
709,34,2060,-1.158
709,32,2009,-0.5
709,32,2010,-0.5
709,32,2011,-0.5
709,32,2012,-0.5
709,32,2013,-0.5
709,32,2014,-0.5
709,32,2015,-0.5
709,32,2016,-0.5
709,32,2017,-0.5
709,32,2018,-0.5
709,32,2019,-0.5
709,32,2020,-0.5
709,32,2021,-0.5
709,32,2022,-0.5
709,32,2023,-0.5
709,32,2024,-0.5
709,32,2025,-0.5
709,32,2026,-0.5
709,32,2027,-0.5
709,32,2028,-0.5
709,32,2029,-0.5
709,32,2030,-0.5
709,32,2031,-0.5
709,32,2040,-0.5
709,32,2050,-0.5
709,32,2060,-0.5
674,93,2009,1
674,93,2010,1
674,93,2011,1
674,93,2012,1
674,93,2013,1
674,93,2014,1
674,93,2015,1
674,93,2016,1
674,93,2017,1
674,93,2018,1
674,93,2019,1
674,93,2020,1
674,93,2021,1
674,93,2022,1
674,93,2023,1
674,93,2024,1
674,93,2025,1
674,93,2026,1
674,93,2027,1
674,93,2028,1
674,93,2029,1
674,93,2030,1
674,93,2031,1
674,93,2040,1
674,93,2050,1
674,93,2060,1
674,103,2009,1
674,103,2010,1
674,103,2011,1
674,103,2012,1
674,103,2013,1
674,103,2014,1
674,103,2015,1
674,103,2016,1
674,103,2017,1
674,103,2018,1
674,103,2019,1
674,103,2020,1
674,103,2021,1
674,103,2022,1
674,103,2023,1
674,103,2024,1
674,103,2025,1
674,103,2026,1
674,103,2027,1
674,103,2028,1
674,103,2029,1
674,103,2030,1
674,103,2031,1
674,103,2040,1
674,103,2050,1
674,103,2060,1
710,97,2009,1
710,97,2010,1
710,97,2011,1
710,97,2012,1
710,97,2013,1
710,97,2014,1
710,97,2015,1
710,97,2016,1
710,97,2017,1
710,97,2018,1
710,97,2019,1
710,97,2020,1
710,97,2021,1
710,97,2022,1
710,97,2023,1
710,97,2024,1
710,97,2025,1
710,97,2026,1
710,97,2027,1
710,97,2028,1
710,97,2029,1
710,97,2030,1
710,97,2031,1
710,97,2040,1
710,97,2050,1
710,97,2060,1
710,136,2009,1
710,136,2010,1
710,136,2011,1
710,136,2012,1
710,136,2013,1
710,136,2014,1
710,136,2015,1
710,136,2016,1
710,136,2017,1
710,136,2018,1
710,136,2019,1
710,136,2020,1
710,136,2021,1
710,136,2022,1
710,136,2023,1
710,136,2024,1
710,136,2025,1
710,136,2026,1
710,136,2027,1
710,136,2028,1
710,136,2029,1
710,136,2030,1
710,136,2031,1
710,136,2040,1
710,136,2050,1
710,136,2060,1
708,96,2009,1
708,96,2010,1
708,96,2011,1
708,96,2012,1
708,96,2013,1
708,96,2014,1
708,96,2015,1
708,96,2016,1
708,96,2017,1
708,96,2018,1
708,96,2019,1
708,96,2020,1
708,96,2021,1
708,96,2022,1
708,96,2023,1
708,96,2024,1
708,96,2025,1
708,96,2026,1
708,96,2027,1
708,96,2028,1
708,96,2029,1
708,96,2030,1
708,96,2031,1
708,96,2040,1
708,96,2050,1
708,96,2060,1
708,134,2009,1
708,134,2010,1
708,134,2011,1
708,134,2012,1
708,134,2013,1
708,134,2014,1
708,134,2015,1
708,134,2016,1
708,134,2017,1
708,134,2018,1
708,134,2019,1
708,134,2020,1
708,134,2021,1
708,134,2022,1
708,134,2023,1
708,134,2024,1
708,134,2025,1
708,134,2026,1
708,134,2027,1
708,134,2028,1
708,134,2029,1
708,134,2030,1
708,134,2031,1
708,134,2040,1
708,134,2050,1
708,134,2060,1
711,66,2009,1
711,66,2010,1
711,66,2011,1
711,66,2012,1
711,66,2013,1
711,66,2014,1
711,66,2015,1
711,66,2016,1
711,66,2017,1
711,66,2018,1
711,66,2019,1
711,66,2020,1
711,66,2021,1
711,66,2022,1
711,66,2023,1
711,66,2024,1
711,66,2025,1
711,66,2026,1
711,66,2027,1
711,66,2028,1
711,66,2029,1
711,66,2030,1
711,66,2031,1
711,66,2040,1
711,66,2050,1
711,66,2060,1
711,103,2009,1
711,103,2010,1
711,103,2011,1
711,103,2012,1
711,103,2013,1
711,103,2014,1
711,103,2015,1
711,103,2016,1
711,103,2017,1
711,103,2018,1
711,103,2019,1
711,103,2020,1
