id,technology,country.name,level,renewable,energy.source,producing.country,consuming.country,status,name,show
479,SArEPPSGNCSTbra,South Africa,Centralised Generation,Not renewable,Pump Storage,South Africa,South Africa,New Committed,Ingula Pump Storage,yes
480,SArEPPSGNUSPste,South Africa,Centralised Generation,Not renewable,Pump Storage,South Africa,South Africa,New Uncommitted,Tubaste,yes
481,SArEPPSGNUSTste,South Africa,Centralised Generation,Not renewable,Pump Storage,South Africa,South Africa,New Uncommitted,Tubaste,yes
482,SArEPSOLNUPVrt,South Africa,Distributed Generation,Renewable,Solar PV,South Africa,South Africa,New Uncommitted,Solar PV (roof top - urban),yes
483,SArEPSOLNUPVrtru,South Africa,Distributed Generation,Renewable,Solar PV,South Africa,South Africa,New Uncommitted,Solar PV (roof top - rural),yes
484,SArEPSOLNUPVst,South Africa,Distributed Generation,Renewable,Solar PV,South Africa,South Africa,New Uncommitted,PV with 1hr Battery (roof top - urban),yes
485,SArEPSOLNUPVst2,South Africa,Distributed Generation,Renewable,Solar PV,South Africa,South Africa,New Uncommitted,PV with 2hr Battery (roof top - urban),yes
486,SArEPSOLNUPVstru,South Africa,Distributed Generation,Renewable,Solar PV,South Africa,South Africa,New Uncommitted,PV with 1h Battery (roof top - rural),yes
487,SArEPSOLNUPVstru2,South Africa,Distributed Generation,Renewable,Solar PV,South Africa,South Africa,New Uncommitted,PV with 2h Battery (roof top - rural),yes
488,SArEPSOLNUPVut,South Africa,Centralised Generation,Renewable,Solar PV,South Africa,South Africa,New Uncommitted,Solar PV (utility),yes
489,SArEPTSONUTH,South Africa,Centralised Generation,Renewable,Solar Thermal,South Africa,South Africa,New Uncommitted,Solar thermal no storage,yes
