id,technology,country.name,level,renewable,energy.source,producing.country,consuming.country,status,name,show
315,MArEPODSNUurb,Malawi,Distributed Generation,Not renewable,Oil,Malawi,Malawi,New Uncommitted,Diesel/Gasoline 1kW system (residential/commercial),yes
316,MArEPOHFNU,Malawi,Centralised Generation,Not renewable,Oil,Malawi,Malawi,New Uncommitted,HFO,yes
317,MArEPSOLNUPVrt,Malawi,Distributed Generation,Renewable,Solar PV,Malawi,Malawi,New Uncommitted,Solar PV (roof top - urban),yes
318,MArEPSOLNUPVrtru,Malawi,Distributed Generation,Renewable,Solar PV,Malawi,Malawi,New Uncommitted,Solar PV (roof top - rural),yes
319,MArEPSOLNUPVst,Malawi,Distributed Generation,Renewable,Solar PV,Malawi,Malawi,New Uncommitted,PV with 1hr Battery (roof top - urban),yes
320,MArEPSOLNUPVst2,Malawi,Distributed Generation,Renewable,Solar PV,Malawi,Malawi,New Uncommitted,PV with 2hr Battery (roof top - urban),yes
321,MArEPSOLNUPVstru,Malawi,Distributed Generation,Renewable,Solar PV,Malawi,Malawi,New Uncommitted,PV with 1h Battery (roof top - rural),yes
322,MArEPSOLNUPVstru2,Malawi,Distributed Generation,Renewable,Solar PV,Malawi,Malawi,New Uncommitted,PV with 2h Battery (roof top - rural),yes
323,MArEPSOLNUPVut,Malawi,Centralised Generation,Renewable,Solar PV,Malawi,Malawi,New Uncommitted,Solar PV (utility),yes
324,MArEPTSONUTH,Malawi,Centralised Generation,Renewable,Solar Thermal,Malawi,Malawi,New Uncommitted,Solar thermal no storage,yes
325,MArEPTSONUTHst,Malawi,Centralised Generation,Renewable,Solar Thermal,Malawi,Malawi,New Uncommitted,Solar thermal with Storage,yes
326,MArEPWNDNU25,Malawi,Centralised Generation,Renewable,Wind,Malawi,Malawi,New Uncommitted,Bulk Wind (20% CF),yes
327,MArEPWNDNU30,Malawi,Centralised Generation,Renewable,Wind,Malawi,Malawi,New Uncommitted,Bulk Wind (30% CF),yes
328,MArERural,Malawi,Demand,N/A,Electricity,Malawi,Malawi,N/A,Rural,yes
329,MArETrans,Malawi,Transmission (local),N/A,Electricity,Malawi,Malawi,N/A,Local,no
