"source","target","text","flow"
"CD","AO","%flow GWh",6455
"NA","BW","%flow GWh",1512
"ZW","BW","%flow GWh",6908
"ZA","LS","%flow GWh",123
"MW","MZ","%flow GWh",1408
"AO","NA","%flow GWh",1558
"CD","NA","%flow GWh",5741
"BW","ZA","%flow GWh",11365
"MZ","ZA","%flow GWh",7401
"NA","ZA","%flow GWh",6522
"SZ","ZA","%flow GWh",12748
"ZW","ZA","%flow GWh",5259
"MZ","SZ","%flow GWh",12660
"ZM","TZ","%flow GWh",3480
"CD","ZM","%flow GWh",6621
"MZ","ZW","%flow GWh",7791
"ZM","ZW","%flow GWh",1286
