"source","target","text","flow"
"CD","AO","%flow GWh",5256
"NA","BW","%flow GWh",715
"ZW","BW","%flow GWh",3146
"ZA","LS","%flow GWh",146
"MW","MZ","%flow GWh",1125
"AO","NA","%flow GWh",2758
"CD","NA","%flow GWh",594
"BW","ZA","%flow GWh",6999
"MZ","ZA","%flow GWh",5228
"NA","ZA","%flow GWh",3606
"SZ","ZA","%flow GWh",11891
"ZW","ZA","%flow GWh",5259
"MZ","SZ","%flow GWh",12660
"ZM","TZ","%flow GWh",3480
"CD","ZM","%flow GWh",6621
"ZW","ZM","%flow GWh",3460
"MZ","ZW","%flow GWh",8317
