"source","target","text","flow"
"CD","AO","%flow GWh",4766
"NA","AO","%flow GWh",660
"ZA","LS","%flow GWh",409
"MW","MZ","%flow GWh",1125
"BW","NA","%flow GWh",584
"BW","ZA","%flow GWh",2741
"MZ","ZA","%flow GWh",5016
"SZ","ZA","%flow GWh",11867
"ZW","ZA","%flow GWh",4469
"MZ","SZ","%flow GWh",12660
"ZM","TZ","%flow GWh",3480
"CD","ZM","%flow GWh",4363
"ZW","ZM","%flow GWh",4625
"MZ","ZW","%flow GWh",7348
